test_name,metric,control_rate,treatment_rate,control_ci_lower,control_ci_upper,treatment_ci_lower,treatment_ci_upper,control_n,treatment_n,z_statistic,p_value,is_significant,relative_lift,absolute_lift,pooled_se,control_std,treatment_std,cohens_d,p_value_adjusted,significant_adjusted
Image Layout Test,clicked_cta,0.2021492067064251,0.23169518262346803,0.19991767354821754,0.20438073986463268,0.2293431800932409,0.23404718515369516,124418,123615,-17.852579206920616,2.7599062846204867e-71,True,0.14615924741150035,0.029545975917042916,0.0016549976098461623,,,,1.9319343992343408e-70,True
Image Layout Test,converted,0.0433458181292096,0.05598026129515026,0.042214310276120895,0.04447732598229831,0.05469875571198321,0.05726176687831731,124418,123615,-14.484645738137178,1.5150174182669903e-47,True,0.29148009453365564,0.01263444316594066,0.0008722645616851333,,,,3.5350406426229775e-47,True
CTA Button Test,clicked_cta,0.2042911951510462,0.2294679949985883,0.20204772597591247,0.20653466432617995,0.22712724543909701,0.2318087445580796,124068,123965,-15.212668266006498,2.914189515869877e-52,True,0.12323976972638097,0.025176799847542092,0.0016549890793189099,,,,1.0199663305544571e-51,True
CTA Button Test,converted,0.045096237547151564,0.05419271568587908,0.043941540228473006,0.04625093486583012,0.05293242614148745,0.055453005230270705,124068,123965,-10.42863074515385,1.8351365168300697e-25,True,0.20171257367571852,0.009096478138727514,0.0008722600656806855,,,,2.140992602968415e-25,True
Social Proof Test,clicked_cta,0.21073327022500546,0.22297405895400044,0.20845962563586085,0.21300691481415007,0.220661355235189,0.22528676267281186,123597,124436,-7.396254094453687,1.4007984442241552e-13,True,0.05808664534045889,0.012240788728994978,0.0016549984049593586,,,,1.4007984442241552e-13,True
Social Proof Test,converted,0.043447656496516905,0.05579575042592176,0.04231112448018509,0.04458418851284872,0.054520461446284585,0.05707103940555894,123597,124436,-14.156356384738924,1.706137183392126e-45,True,0.28420621329472107,0.012348093929404856,0.0008722649807486168,,,,2.9857400709362205e-45,True
Social Proof Test,log_revenue,0.15404711613504832,0.1975052928047388,0.14992119696121145,0.15817303530888518,0.19287926255473364,0.20213132305474396,123597,124436,13.741246537960253,5.962864915289678e-43,True,0.28210964125801646,0.043458176669690485,0.003163862625277769,0.7400692109390734,0.8325861345212727,0.05516093640993519,8.348010881405548e-43,True
