test_name,metric,prob_treatment_better,control_rate_mean,treatment_rate_mean,control_ci_lower,control_ci_upper,treatment_ci_lower,treatment_ci_upper,expected_lift,lift_ci_lower,lift_ci_upper,bayesian_significant
Image Layout Test,clicked_cta,1.0,0.20214173434300578,0.23169383090909973,0.1999575394429881,0.2043557003349724,0.22932994591897593,0.23406584821859394,0.14623135725750125,0.12889059137225278,0.16362045332240072,True
Image Layout Test,converted,1.0,0.0433512878405428,0.05598679393701109,0.04223407652503951,0.04446646957519696,0.05470410405466803,0.057298183686561546,0.29169741118340625,0.24725403320794678,0.3369009320698916,True
CTA Button Test,clicked_cta,1.0,0.20432462278525237,0.2294676600430136,0.202071374637305,0.20654279315006333,0.22710411507390868,0.23178271293611794,0.12309006644024366,0.10657710002543068,0.1401247821137883,True
CTA Button Test,converted,1.0,0.045095167968561646,0.05419422689597609,0.04396139048934964,0.04625106046861177,0.0529253098833387,0.055460886607244964,0.20197989988618534,0.16059038558672825,0.2439641613510286,True
Social Proof Test,clicked_cta,1.0,0.210742539384264,0.2229752580286195,0.20842506515781795,0.21301872752981263,0.22068152908287228,0.22523526958584025,0.05807905445408564,0.042426898606596423,0.07416247411890604,True
Social Proof Test,converted,1.0,0.04344577814517576,0.055807695385974396,0.04232110640297454,0.04458694920611868,0.054551132598755644,0.057072690293564335,0.28476494460014357,0.2416210196085105,0.33034168020522753,True
